#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADIPOQ	PDK4	9606.ENSP00000389814	9606.ENSP00000005178	0	0	0	0	0.053	0	0	0.433	0.440
ADIPOQ	PCK2	9606.ENSP00000389814	9606.ENSP00000216780	0	0	0	0	0.100	0	0	0.618	0.641
ADIPOQ	GCK	9606.ENSP00000389814	9606.ENSP00000223366	0	0	0	0	0	0	0	0.476	0.476
ADIPOQ	G6PC	9606.ENSP00000389814	9606.ENSP00000253801	0	0	0	0	0.069	0	0	0.595	0.607
ADIPOQ	PPARGC1A	9606.ENSP00000389814	9606.ENSP00000264867	0	0	0	0	0	0	0.500	0.892	0.944
ADIPOQ	CPT1A	9606.ENSP00000389814	9606.ENSP00000265641	0	0	0	0	0	0	0	0.532	0.532
ADIPOQ	G6PC3	9606.ENSP00000389814	9606.ENSP00000269097	0	0	0	0	0.067	0	0	0.545	0.558
ADIPOQ	TP53	9606.ENSP00000389814	9606.ENSP00000269305	0	0	0	0	0	0	0	0.444	0.444
ADIPOQ	FABP5	9606.ENSP00000389814	9606.ENSP00000297258	0	0	0	0	0.202	0	0	0.423	0.520
ADIPOQ	PPARD	9606.ENSP00000389814	9606.ENSP00000310928	0	0	0	0	0	0	0	0.613	0.613
ADIPOQ	LEP	9606.ENSP00000389814	9606.ENSP00000312652	0	0	0	0	0.683	0	0	0.983	0.994
ADIPOQ	PCK1	9606.ENSP00000389814	9606.ENSP00000319814	0	0	0	0	0.215	0	0	0.633	0.699
ADIPOQ	C1QTNF12	9606.ENSP00000389814	9606.ENSP00000329137	0	0	0	0	0	0	0	0.446	0.446
ADIPOQ	LEPR	9606.ENSP00000389814	9606.ENSP00000330393	0	0	0	0	0.043	0	0	0.868	0.868
ADIPOQ	GHRL	9606.ENSP00000389814	9606.ENSP00000335074	0	0	0	0	0.044	0	0	0.843	0.844
ADIPOQ	SERPINA12	9606.ENSP00000389814	9606.ENSP00000342109	0	0	0	0	0.042	0	0	0.720	0.720
ADIPOQ	PRKAA1	9606.ENSP00000389814	9606.ENSP00000346148	0	0	0	0	0	0.162	0	0.338	0.421
ADIPOQ	RBP4	9606.ENSP00000389814	9606.ENSP00000360522	0	0	0	0	0.159	0	0	0.771	0.799
ADIPOQ	G6PC2	9606.ENSP00000389814	9606.ENSP00000364512	0	0	0	0	0.067	0	0	0.555	0.567
ADIPOQ	IRS2	9606.ENSP00000389814	9606.ENSP00000365016	0	0	0	0	0	0	0	0.601	0.601
ADIPOQ	AKT2	9606.ENSP00000389814	9606.ENSP00000375892	0	0	0	0	0	0	0	0.407	0.407
ADIPOQ	G6PD	9606.ENSP00000389814	9606.ENSP00000377192	0	0	0	0	0	0	0	0.474	0.474
ADIPOQ	GAPDH	9606.ENSP00000389814	9606.ENSP00000380070	0	0	0	0	0	0	0	0.594	0.594
ADIPOQ	INS	9606.ENSP00000389814	9606.ENSP00000380432	0	0	0	0	0	0	0	0.961	0.961
ADIPOQ	PPARA	9606.ENSP00000389814	9606.ENSP00000385523	0	0	0	0	0.069	0	0	0.912	0.914
ADIPOQ	GCG	9606.ENSP00000389814	9606.ENSP00000387662	0	0	0	0	0	0	0	0.767	0.767
ADIPOQ	IGF2	9606.ENSP00000389814	9606.ENSP00000391826	0	0	0	0	0.049	0	0	0.435	0.439
ADIPOQ	H6PD	9606.ENSP00000389814	9606.ENSP00000473348	0	0	0	0	0	0	0	0.543	0.543
ADIPOQ	AKT1	9606.ENSP00000389814	9606.ENSP00000451828	0	0	0	0	0	0	0	0.712	0.712
ADIPOQ	TNF	9606.ENSP00000389814	9606.ENSP00000398698	0	0	0	0	0.047	0	0	0.871	0.871
ADPGK	GCK	9606.ENSP00000312250	9606.ENSP00000223366	0	0	0	0	0	0	0.900	0.835	0.982
ADPGK	TPI1	9606.ENSP00000312250	9606.ENSP00000229270	0.086	0	0	0	0.063	0	0	0.468	0.505
ADPGK	G6PC	9606.ENSP00000312250	9606.ENSP00000253801	0	0	0	0	0	0	0.900	0.094	0.905
ADPGK	G6PC3	9606.ENSP00000312250	9606.ENSP00000269097	0	0	0	0	0	0	0.900	0.165	0.912
ADPGK	GALM	9606.ENSP00000312250	9606.ENSP00000272252	0	0	0	0	0.049	0	0.900	0.130	0.910
ADPGK	HK2	9606.ENSP00000312250	9606.ENSP00000290573	0	0	0	0	0.056	0	0.900	0.307	0.928
ADPGK	HK3	9606.ENSP00000312250	9606.ENSP00000292432	0	0	0	0	0.063	0	0.900	0.316	0.930
ADPGK	PGM2L1	9606.ENSP00000312250	9606.ENSP00000298198	0.045	0	0	0	0	0	0.417	0.137	0.477
ADPGK	PGK2	9606.ENSP00000312250	9606.ENSP00000305995	0	0	0	0	0	0	0	0.405	0.405
ADPGK	FBP1	9606.ENSP00000312250	9606.ENSP00000408025	0	0	0	0	0.056	0	0	0.412	0.421
ADPGK	ENO1	9606.ENSP00000312250	9606.ENSP00000495530	0	0	0	0	0.062	0	0.151	0.392	0.473
ADPGK	PGK1	9606.ENSP00000312250	9606.ENSP00000362413	0	0	0	0	0.063	0	0	0.467	0.479
ADPGK	TKTL1	9606.ENSP00000312250	9606.ENSP00000358931	0	0	0	0	0	0	0.800	0.074	0.806
ADPGK	G6PD	9606.ENSP00000312250	9606.ENSP00000377192	0	0	0	0	0.047	0	0.800	0.180	0.830
ADPGK	H6PD	9606.ENSP00000312250	9606.ENSP00000473348	0	0	0	0	0.075	0	0.800	0.200	0.839
ADPGK	G6PC2	9606.ENSP00000312250	9606.ENSP00000364512	0	0	0	0	0	0	0.900	0	0.900
ADPGK	ALDOC	9606.ENSP00000312250	9606.ENSP00000378731	0	0	0	0	0.047	0	0.876	0.294	0.909
ADPGK	HKDC1	9606.ENSP00000312250	9606.ENSP00000346643	0	0	0	0	0	0	0.900	0.221	0.918
ADPGK	HK1	9606.ENSP00000312250	9606.ENSP00000494664	0	0	0	0	0.049	0.143	0.900	0.312	0.936
ADPGK	PGM2	9606.ENSP00000312250	9606.ENSP00000371393	0.045	0	0	0	0.060	0	0.939	0.244	0.953
ADPGK	GPI	9606.ENSP00000312250	9606.ENSP00000405573	0.231	0	0	0	0.058	0	0.980	0.477	0.991
AKT1	PDK4	9606.ENSP00000451828	9606.ENSP00000005178	0	0	0	0	0	0.078	0	0.540	0.558
AKT1	TIGAR	9606.ENSP00000451828	9606.ENSP00000179259	0	0	0	0	0.049	0	0	0.438	0.443
AKT1	PCK2	9606.ENSP00000451828	9606.ENSP00000216780	0	0	0	0	0.050	0	0	0.536	0.541
AKT1	GAPDHS	9606.ENSP00000451828	9606.ENSP00000222286	0	0	0	0	0.067	0.075	0	0.364	0.403
AKT1	GCK	9606.ENSP00000451828	9606.ENSP00000223366	0	0	0	0	0.044	0.045	0	0.512	0.516
AKT1	KAT2A	9606.ENSP00000451828	9606.ENSP00000225916	0	0	0	0	0.078	0.195	0	0.375	0.496
AKT1	MAPK14	9606.ENSP00000451828	9606.ENSP00000229795	0	0	0.119	0.621	0.246	0.739	0.900	0.535	0.990
AKT1	G6PC	9606.ENSP00000451828	9606.ENSP00000253801	0	0	0	0	0.052	0.056	0	0.686	0.694
AKT1	PER2	9606.ENSP00000451828	9606.ENSP00000254657	0	0	0	0	0	0.064	0	0.598	0.607
AKT1	KAT2B	9606.ENSP00000451828	9606.ENSP00000263754	0	0	0	0	0.049	0.300	0	0.430	0.587
AKT1	PIK3CA	9606.ENSP00000451828	9606.ENSP00000263967	0	0	0	0	0.060	0.738	0.900	0.951	0.998
AKT1	PPARGC1A	9606.ENSP00000451828	9606.ENSP00000264867	0	0	0	0	0	0.095	0	0.741	0.756
AKT1	CPT1A	9606.ENSP00000451828	9606.ENSP00000265641	0	0	0	0	0.049	0	0	0.475	0.479
AKT1	G6PC3	9606.ENSP00000451828	9606.ENSP00000269097	0	0	0	0	0.082	0.056	0	0.612	0.635
AKT1	TP53	9606.ENSP00000451828	9606.ENSP00000269305	0	0	0	0	0.049	0.184	0.900	0.934	0.994
AKT1	PFKL	9606.ENSP00000451828	9606.ENSP00000269848	0	0	0	0	0.186	0.054	0	0.314	0.425
AKT1	HK2	9606.ENSP00000451828	9606.ENSP00000290573	0	0	0	0	0.042	0.045	0	0.768	0.769
AKT1	LRP5	9606.ENSP00000451828	9606.ENSP00000294304	0	0	0	0	0.086	0	0	0.517	0.540
AKT1	FABP5	9606.ENSP00000451828	9606.ENSP00000297258	0	0	0	0	0	0	0	0.515	0.515
AKT1	INPPL1	9606.ENSP00000451828	9606.ENSP00000298229	0	0	0	0	0.137	0.050	0	0.808	0.828
AKT1	PPARD	9606.ENSP00000451828	9606.ENSP00000310928	0	0	0	0	0.080	0.071	0	0.572	0.603
AKT1	LEP	9606.ENSP00000451828	9606.ENSP00000312652	0	0	0	0	0	0	0	0.825	0.825
AKT1	PCK1	9606.ENSP00000451828	9606.ENSP00000319814	0	0	0	0	0	0.292	0	0.504	0.634
AKT1	PKM	9606.ENSP00000451828	9606.ENSP00000320171	0	0	0	0	0.063	0.170	0	0.623	0.681
AKT1	LEPR	9606.ENSP00000451828	9606.ENSP00000330393	0	0	0	0	0	0.045	0	0.571	0.573
AKT1	GHRL	9606.ENSP00000451828	9606.ENSP00000335074	0	0	0	0	0	0	0	0.528	0.528
AKT1	ATF4	9606.ENSP00000451828	9606.ENSP00000336790	0	0	0	0	0	0	0.650	0.523	0.826
AKT1	ATF3	9606.ENSP00000451828	9606.ENSP00000344352	0	0	0	0	0.060	0.096	0	0.684	0.708
AKT1	PFKFB2	9606.ENSP00000451828	9606.ENSP00000356047	0	0	0	0	0.042	0.048	0.900	0.385	0.936
AKT1	CRTC2	9606.ENSP00000451828	9606.ENSP00000357622	0	0	0	0	0.067	0	0.900	0.399	0.939
AKT1	TKTL1	9606.ENSP00000451828	9606.ENSP00000358931	0	0	0	0	0.067	0.044	0	0.610	0.621
AKT1	PGK1	9606.ENSP00000451828	9606.ENSP00000362413	0	0	0	0	0.047	0	0	0.458	0.461
AKT1	PFKFB1	9606.ENSP00000451828	9606.ENSP00000364145	0	0	0	0	0	0.297	0	0.328	0.508
AKT1	G6PC2	9606.ENSP00000451828	9606.ENSP00000364512	0	0	0	0	0.052	0.056	0	0.609	0.620
AKT1	IRS2	9606.ENSP00000451828	9606.ENSP00000365016	0	0	0	0	0	0.098	0	0.876	0.883
AKT1	PFKP	9606.ENSP00000451828	9606.ENSP00000370517	0	0	0	0	0.054	0.301	0	0.327	0.517
AKT1	AKT2	9606.ENSP00000451828	9606.ENSP00000375892	0	0	0.050	0.981	0.131	0.787	0.900	0.569	0.991
AKT1	PDK1	9606.ENSP00000451828	9606.ENSP00000376352	0	0	0	0	0.044	0.639	0	0.595	0.848
AKT1	G6PD	9606.ENSP00000451828	9606.ENSP00000377192	0	0	0	0	0.146	0	0	0.550	0.600
AKT1	BAD	9606.ENSP00000451828	9606.ENSP00000378040	0	0	0	0	0.060	0.860	0.900	0.572	0.993
AKT1	GAPDH	9606.ENSP00000451828	9606.ENSP00000380070	0	0	0	0	0.056	0.250	0	0.884	0.911
AKT1	INS	9606.ENSP00000451828	9606.ENSP00000380432	0	0	0	0	0	0.071	0	0.952	0.953
AKT1	PPARA	9606.ENSP00000451828	9606.ENSP00000385523	0	0	0	0	0.084	0.071	0	0.676	0.700
AKT1	GCG	9606.ENSP00000451828	9606.ENSP00000387662	0	0	0	0	0	0	0	0.666	0.666
AKT1	IGF2	9606.ENSP00000451828	9606.ENSP00000391826	0	0	0	0	0	0	0	0.693	0.693
AKT1	TNF	9606.ENSP00000451828	9606.ENSP00000398698	0	0	0	0	0.074	0.057	0	0.903	0.907
AKT1	PDK2	9606.ENSP00000451828	9606.ENSP00000420927	0	0	0	0	0.067	0.087	0	0.762	0.780
AKT1	ENO2	9606.ENSP00000451828	9606.ENSP00000437402	0	0	0	0	0.069	0.244	0	0.401	0.542
AKT1	PFKM	9606.ENSP00000451828	9606.ENSP00000496597	0	0	0	0	0.047	0.054	0	0.491	0.501
AKT1	HK1	9606.ENSP00000451828	9606.ENSP00000494664	0	0	0	0	0.049	0.209	0	0.452	0.552
AKT1	H6PD	9606.ENSP00000451828	9606.ENSP00000473348	0	0	0	0	0.093	0.049	0	0.531	0.560
AKT1	ENO1	9606.ENSP00000451828	9606.ENSP00000495530	0	0	0	0	0.074	0.457	0	0.663	0.816
AKT2	MAPK14	9606.ENSP00000375892	9606.ENSP00000229795	0	0	0.118	0.630	0.089	0.110	0.900	0.194	0.932
AKT2	G6PC	9606.ENSP00000375892	9606.ENSP00000253801	0	0	0	0	0.052	0.056	0	0.461	0.476
AKT2	PIK3CA	9606.ENSP00000375892	9606.ENSP00000263967	0	0	0	0	0.042	0.098	0.900	0.841	0.984
AKT2	PPARGC1A	9606.ENSP00000375892	9606.ENSP00000264867	0	0	0	0	0	0.091	0	0.608	0.629
AKT2	G6PC3	9606.ENSP00000375892	9606.ENSP00000269097	0	0	0	0	0.054	0.056	0	0.386	0.405
AKT2	TP53	9606.ENSP00000375892	9606.ENSP00000269305	0	0	0	0	0.072	0	0.900	0.734	0.973
AKT2	INPPL1	9606.ENSP00000375892	9606.ENSP00000298229	0	0	0	0	0.062	0.050	0	0.595	0.607
AKT2	ATF4	9606.ENSP00000375892	9606.ENSP00000336790	0	0	0	0	0	0	0.650	0.136	0.684
AKT2	PFKFB2	9606.ENSP00000375892	9606.ENSP00000356047	0	0	0	0	0.049	0.048	0.900	0.183	0.916
AKT2	CRTC2	9606.ENSP00000375892	9606.ENSP00000357622	0	0	0	0	0.055	0	0.900	0.469	0.945
AKT2	G6PC2	9606.ENSP00000375892	9606.ENSP00000364512	0	0	0	0	0.052	0.056	0	0.396	0.413
AKT2	IRS2	9606.ENSP00000375892	9606.ENSP00000365016	0	0	0	0	0.049	0.098	0	0.666	0.689
AKT2	TNF	9606.ENSP00000375892	9606.ENSP00000398698	0	0	0	0	0.074	0.057	0	0.398	0.429
AKT2	GAPDH	9606.ENSP00000375892	9606.ENSP00000380070	0	0	0	0	0.050	0.091	0	0.521	0.550
AKT2	PDK2	9606.ENSP00000375892	9606.ENSP00000420927	0	0	0	0	0.049	0.078	0	0.533	0.555
AKT2	PDK1	9606.ENSP00000375892	9606.ENSP00000376352	0	0	0	0	0.042	0.319	0	0.470	0.624
AKT2	INS	9606.ENSP00000375892	9606.ENSP00000380432	0	0	0	0	0	0.071	0	0.841	0.846
AKT2	BAD	9606.ENSP00000375892	9606.ENSP00000378040	0	0	0	0	0.054	0.065	0.900	0.201	0.919
ALDOC	PCK2	9606.ENSP00000378731	9606.ENSP00000216780	0	0	0	0	0.115	0	0	0.386	0.433
ALDOC	GAPDHS	9606.ENSP00000378731	9606.ENSP00000222286	0.079	0	0	0	0.246	0.091	0.938	0.351	0.970
ALDOC	GCK	9606.ENSP00000378731	9606.ENSP00000223366	0	0	0	0	0.080	0	0.800	0.298	0.859
ALDOC	TPI1	9606.ENSP00000378731	9606.ENSP00000229270	0.045	0	0	0	0.256	0	0.956	0.692	0.989
ALDOC	G6PC	9606.ENSP00000378731	9606.ENSP00000253801	0	0	0	0	0.075	0.045	0.800	0.276	0.855
ALDOC	G6PC3	9606.ENSP00000378731	9606.ENSP00000269097	0	0	0	0	0.068	0.045	0.800	0.214	0.841
ALDOC	PFKL	9606.ENSP00000378731	9606.ENSP00000269848	0.055	0	0	0	0.127	0	0.932	0.676	0.979
ALDOC	GALM	9606.ENSP00000378731	9606.ENSP00000272252	0	0	0	0	0.074	0	0	0.446	0.466
ALDOC	DLAT	9606.ENSP00000378731	9606.ENSP00000280346	0	0	0	0	0.049	0	0	0.412	0.417
ALDOC	HK2	9606.ENSP00000378731	9606.ENSP00000290573	0	0	0	0	0.078	0	0.800	0.407	0.881
ALDOC	HK3	9606.ENSP00000378731	9606.ENSP00000292432	0	0	0	0	0.055	0	0.800	0.322	0.860
ALDOC	PDHA2	9606.ENSP00000378731	9606.ENSP00000295266	0	0	0	0	0.110	0	0.800	0.213	0.847
ALDOC	PGAM2	9606.ENSP00000378731	9606.ENSP00000297283	0.053	0	0	0	0.129	0.225	0.800	0.538	0.930
ALDOC	PGK2	9606.ENSP00000378731	9606.ENSP00000305995	0.079	0	0	0	0.103	0.250	0.312	0.523	0.759
ALDOC	PDHB	9606.ENSP00000378731	9606.ENSP00000307241	0.044	0	0	0	0.091	0	0.842	0.495	0.921
ALDOC	PKM	9606.ENSP00000378731	9606.ENSP00000320171	0.069	0	0	0	0.141	0.140	0.820	0.613	0.943
